[2025-08-25 02:51:32,448][root][WARNING] - Waiting for register center actor LgEmRS_register_center to be ready. Elapsed time: 0 seconds out of 300 seconds.
[2025-08-25 02:52:59,020][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,023][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,035][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,048][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(1,3)
[2025-08-25 02:52:59,045][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,055][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,053][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,171][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,11)
[2025-08-25 02:52:59,167][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,192][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,15)
[2025-08-25 02:52:59,195][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(1,11)
[2025-08-25 02:52:59,232][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected mismatching closing brace: '}' @(1,2)
[2025-08-25 02:52:59,248][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(1,5)
[2025-08-25 02:52:59,256][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,278][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,2)
[2025-08-25 02:52:59,311][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(1,21)
[2025-08-25 02:52:59,339][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,0)
[2025-08-25 02:52:59,360][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,416][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,547][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,549][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(1,3)
[2025-08-25 02:52:59,559][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,557][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,615][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,619][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,629][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,18)
[2025-08-25 02:52:59,676][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,732][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,17)
[2025-08-25 02:52:59,767][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,772][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,774][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,17)
[2025-08-25 02:52:59,774][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:52:59,777][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,954][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:52:59,964][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,6)
[2025-08-25 02:53:00,068][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,5)
[2025-08-25 02:53:00,111][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:53:00,152][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,3)
[2025-08-25 02:53:00,306][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,5)
[2025-08-25 02:53:00,397][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:53:00,410][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
[2025-08-25 02:53:00,431][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,1)
[2025-08-25 02:53:00,523][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,2)
[2025-08-25 02:53:00,613][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\)' @(1,2)
[2025-08-25 02:53:00,620][pylatexenc.latexwalker][INFO] - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,3)
